# Experiment_2020-09-01-085942: Experiment Data Table,,,,,,,,,,,,,,,,
Plate Name,Sample,Assay,Well,Spot,Dilution,Concentration,Signal,Adjusted Signal,Mean,Adj. Sig. Mean,CV,% Recovery,% Recovery Mean,Calc. Concentration,Calc. Conc. Mean,Calc. Conc. CV
Plate_1LK05A1071,SARS-COV2-POS-3,SARS-COV2 S-2P,L04,1,121500,,7531,7531,7565,7565,0.635601601,,,29445.37073,29581.65884,0.65155405
Plate_1LK05A1071,SARS-COV2-POS-3,SARS-COV2 S-2P,G04,1,13500,,64294,64294,63989,63988.5,0.675187328,,,27721.42202,27591.84167,0.66416113
Plate_1LK05A1071,SARS-COV2-POS-3,SARS-COV2 S-2P,B04,1,500,,1517541,1517541,1608690,1608689.5,8.012947489,,,24014.68349,25531.14338,8.39992986
Plate_1LK05A1071,Sample 1,SARS-COV2 S-2P,N05,1,364500,,163,163,162,162,0.872971335,,,NaN,NaN,NaN
Plate_1LK05A1071,Sample 1,SARS-COV2 S-2P,C05,1,1500,,2119,2119,1989,1988.5,9.281109876,,,92.1064689,85.41010553,11.08778386
Plate_1LK05A1071,Sample 1,SARS-COV2 S-2P,M05,1,364500,,161,161,162,162,0.872971335,,,NaN,NaN,NaN
Plate_1LK05A1071,Sample 1,SARS-COV2 S-2P,H05,1,13500,,366,366,419,418.5,17.74103035,,,0.722525646,27.26498626,137.6736721
Plate_1LK05A1071,Sample 1,SARS-COV2 S-2P,D05,1,1500,,1858,1858,1989,1988.5,9.281109876,,,78.71374216,85.41010553,11.08778386
Plate_1LK05A1071,Sample 1,SARS-COV2 S-2P,J05,1,40500,,277,277,246,246,17.82139042,,,NaN,NaN,NaN
Plate_1LK05A1071,Sample 1,SARS-COV2 S-2P,O05,1,1093500,,174,174,181,180.5,5.09273582,,,NaN,NaN,NaN
Plate_1LK05A1071,Sample 1,SARS-COV2 S-2P,I05,1,40500,,215,215,246,246,17.82139042,,,NaN,NaN,NaN
Plate_1LK05A1071,Sample 1,SARS-COV2 S-2P,K05,1,121500,,216,216,188,188,21.06275518,,,NaN,NaN,NaN
Plate_1LK05A1071,Sample 1,SARS-COV2 S-2P,E05,1,4500,,857,857,829,828.5,4.864826376,,,80.00056238,75.47628463,8.477225631
Plate_1LK05A1071,Sample 1,SARS-COV2 S-2P,F05,1,4500,,800,800,829,828.5,4.864826376,,,70.95200689,75.47628463,8.477225631
Plate_1LK05A1071,Sample 1,SARS-COV2 S-2P,P05,1,1093500,,187,187,181,180.5,5.09273582,,,NaN,NaN,NaN
Plate_1LK05A1071,Sample 1,SARS-COV2 S-2P,A05,1,500,,4576,4576,4501,4500.5,2.37247248,,,72.13780603,70.87558124,2.518576046
Plate_1LK05A1071,Sample 1,SARS-COV2 S-2P,L05,1,121500,,160,160,188,188,21.06275518,,,NaN,NaN,NaN
Plate_1LK05A1071,Sample 1,SARS-COV2 S-2P,B05,1,500,,4425,4425,4501,4500.5,2.37247248,,,69.61335646,70.87558124,2.518576046
Plate_1LK05A1071,Sample 1,SARS-COV2 S-2P,G05,1,13500,,471,471,419,418.5,17.74103035,,,53.80744688,27.26498626,137.6736721
Plate_1LK05A1071,Sample 10,SARS-COV2 S-2P,H14,1,13500,,161,161,152,152,8.373632935,,,NaN,NaN,NaN
Plate_1LK05A1071,Sample 10,SARS-COV2 S-2P,B14,1,500,,1040,1040,1108,1108,8.679289011,,,12.09887383,13.28449218,12.62161565
Plate_1LK05A1071,Sample 10,SARS-COV2 S-2P,M14,1,364500,,218,218,222,222,2.548132545,,,NaN,NaN,NaN
Plate_1LK05A1071,Sample 10,SARS-COV2 S-2P,C14,1,1500,,474,474,487,487,3.775108072,,,6.143153287,6.854016116,14.66748599
Plate_1LK05A1071,Sample 10,SARS-COV2 S-2P,O14,1,1093500,,193,193,223,223,19.02529456,,,NaN,NaN,NaN
Plate_1LK05A1071,Sample 10,SARS-COV2 S-2P,D14,1,1500,,500,500,487,487,3.775108072,,,7.564878945,6.854016116,14.66748599
Plate_1LK05A1071,Sample 10,SARS-COV2 S-2P,I14,1,40500,,196,196,186,185.5,8.004982429,,,NaN,NaN,NaN
Plate_1LK05A1071,Sample 10,SARS-COV2 S-2P,N14,1,364500,,226,226,222,222,2.548132545,,,NaN,NaN,NaN
Plate_1LK05A1071,Sample 10,SARS-COV2 S-2P,E14,1,4500,,292,292,283,282.5,4.755762422,,,NaN,NaN,NaN
Plate_1LK05A1071,Sample 10,SARS-COV2 S-2P,P14,1,1093500,,253,253,223,223,19.02529456,,,NaN,NaN,NaN
Plate_1LK05A1071,Sample 10,SARS-COV2 S-2P,K14,1,121500,,242,242,238,238,2.376829517,,,NaN,NaN,NaN
Plate_1LK05A1071,Sample 10,SARS-COV2 S-2P,J14,1,40500,,175,175,186,185.5,8.004982429,,,NaN,NaN,NaN
Plate_1LK05A1071,Sample 10,SARS-COV2 S-2P,L14,1,121500,,234,234,238,238,2.376829517,,,NaN,NaN,NaN
Plate_1LK05A1071,Sample 10,SARS-COV2 S-2P,A14,1,500,,1176,1176,1108,1108,8.679289011,,,14.47011052,13.28449218,12.62161565
Plate_1LK05A1071,Sample 10,SARS-COV2 S-2P,F14,1,4500,,273,273,283,282.5,4.755762422,,,NaN,NaN,NaN
Plate_1LK05A1071,Sample 10,SARS-COV2 S-2P,G14,1,13500,,143,143,152,152,8.373632935,,,NaN,NaN,NaN
Plate_1LK05A1071,Sample 11,SARS-COV2 S-2P,H15,1,13500,,249,249,273,272.5,12.19597017,,,NaN,NaN,NaN
Plate_1LK05A1071,Sample 11,SARS-COV2 S-2P,B15,1,500,,2024,2024,2044,2043.5,1.349506458,,,29.07926162,29.41251615,1.602355483
Plate_1LK05A1071,Sample 11,SARS-COV2 S-2P,M15,1,364500,,206,206,198,197.5,6.086488749,,,NaN,NaN,NaN
Plate_1LK05A1071,Sample 11,SARS-COV2 S-2P,C15,1,1500,,855,855,819,818.5,6.306511304,,,26.56117453,24.6287003,11.09653059
Plate_1LK05A1071,Sample 11,SARS-COV2 S-2P,O15,1,1093500,,187,187,188,188,0.752241257,,,NaN,NaN,NaN
Plate_1LK05A1071,Sample 11,SARS-COV2 S-2P,D15,1,1500,,782,782,819,818.5,6.306511304,,,22.69622607,24.6287003,11.09653059
Plate_1LK05A1071,Sample 11,SARS-COV2 S-2P,N15,1,364500,,189,189,198,197.5,6.086488749,,,NaN,NaN,NaN
Plate_1LK05A1071,Sample 11,SARS-COV2 S-2P,I15,1,40500,,220,220,225,225,3.142696805,,,NaN,NaN,NaN
Plate_1LK05A1071,Sample 11,SARS-COV2 S-2P,E15,1,4500,,412,412,408,407.5,1.561708228,,,8.139712373,7.382172087,14.51231065
Plate_1LK05A1071,Sample 11,SARS-COV2 S-2P,K15,1,121500,,263,263,251,250.5,7.056953904,,,NaN,NaN,NaN
Plate_1LK05A1071,Sample 11,SARS-COV2 S-2P,P15,1,1093500,,189,189,188,188,0.752241257,,,NaN,NaN,NaN
Plate_1LK05A1071,Sample 11,SARS-COV2 S-2P,J15,1,40500,,230,230,225,225,3.142696805,,,NaN,NaN,NaN
Plate_1LK05A1071,Sample 11,SARS-COV2 S-2P,L15,1,121500,,238,238,251,250.5,7.056953904,,,NaN,NaN,NaN
Plate_1LK05A1071,Sample 11,SARS-COV2 S-2P,F15,1,4500,,403,403,408,407.5,1.561708228,,,6.624631802,7.382172087,14.51231065
Plate_1LK05A1071,Sample 11,SARS-COV2 S-2P,A15,1,500,,2063,2063,2044,2043.5,1.349506458,,,29.74577067,29.41251615,1.602355483
Plate_1LK05A1071,Sample 11,SARS-COV2 S-2P,G15,1,13500,,296,296,273,272.5,12.19597017,,,NaN,NaN,NaN
Plate_1LK05A1071,Sample 12,SARS-COV2 S-2P,B16,1,500,,1548,1548,1584,1583.5,3.170481936,,,20.91021923,21.52169454,4.018069636
Plate_1LK05A1071,Sample 12,SARS-COV2 S-2P,M16,1,364500,,169,169,193,192.5,17.26442531,,,NaN,NaN,NaN
Plate_1LK05A1071,Sample 12,SARS-COV2 S-2P,H16,1,13500,,279,279,245,244.5,19.9551607,,,NaN,NaN,NaN
Plate_1LK05A1071,Sample 12,SARS-COV2 S-2P,G16,1,13500,,210,210,245,244.5,19.9551607,,,NaN,NaN,NaN
Plate_1LK05A1071,Sample 12,SARS-COV2 S-2P,I16,1,40500,,226,226,234,233.5,4.542441849,,,NaN,NaN,NaN
Plate_1LK05A1071,Sample 12,SARS-COV2 S-2P,C16,1,1500,,660,660,701,700.5,8.176395328,,,16.19782602,18.3580927,16.64158951
Plate_1LK05A1071,Sample 12,SARS-COV2 S-2P,N16,1,364500,,216,216,193,192.5,17.26442531,,,NaN,NaN,NaN
Plate_1LK05A1071,Sample 12,SARS-COV2 S-2P,D16,1,1500,,741,741,701,700.5,8.176395328,,,20.51835937,18.3580927,16.64158951
Plate_1LK05A1071,Sample 12,SARS-COV2 S-2P,P16,1,1093500,,187,187,183,183,3.091177186,,,NaN,NaN,NaN
Plate_1LK05A1071,Sample 12,SARS-COV2 S-2P,E16,1,4500,,300,300,362,361.5,24.05923488,,,NaN,NaN,NaN
Plate_1LK05A1071,Sample 12,SARS-COV2 S-2P,J16,1,40500,,241,241,234,233.5,4.542441849,,,NaN,NaN,NaN
Plate_1LK05A1071,Sample 12,SARS-COV2 S-2P,O16,1,1093500,,179,179,183,183,3.091177186,,,NaN,NaN,NaN
Plate_1LK05A1071,Sample 12,SARS-COV2 S-2P,F16,1,4500,,423,423,362,361.5,24.05923488,,,9.98192255,NaN,NaN
Plate_1LK05A1071,Sample 12,SARS-COV2 S-2P,L16,1,121500,,194,194,190,189.5,3.358290781,,,NaN,NaN,NaN
Plate_1LK05A1071,Sample 12,SARS-COV2 S-2P,K16,1,121500,,185,185,190,189.5,3.358290781,,,NaN,NaN,NaN
Plate_1LK05A1071,Sample 12,SARS-COV2 S-2P,A16,1,500,,1619,1619,1584,1583.5,3.170481936,,,22.13316985,21.52169454,4.018069636
Plate_1LK05A1071,Sample 13,SARS-COV2 S-2P,B17,1,500,,4153,4153,4092,4091.5,2.125727339,,,65.06018675,64.02941306,2.276663285
Plate_1LK05A1071,Sample 13,SARS-COV2 S-2P,H17,1,13500,,398,398,357,356.5,16.46279463,,,17.33769268,NaN,NaN
Plate_1LK05A1071,Sample 13,SARS-COV2 S-2P,M17,1,364500,,179,179,198,197.5,13.24706375,,,NaN,NaN,NaN
Plate_1LK05A1071,Sample 13,SARS-COV2 S-2P,G17,1,13500,,315,315,357,356.5,16.46279463,,,NaN,NaN,NaN
Plate_1LK05A1071,Sample 13,SARS-COV2 S-2P,I17,1,40500,,177,177,211,211,22.78827541,,,NaN,NaN,NaN
Plate_1LK05A1071,Sample 13,SARS-COV2 S-2P,C17,1,1500,,1567,1567,1563,1563,0.361922857,,,63.71297924,63.50619808,0.460479014
Plate_1LK05A1071,Sample 13,SARS-COV2 S-2P,N17,1,364500,,216,216,198,197.5,13.24706375,,,NaN,NaN,NaN
Plate_1LK05A1071,Sample 13,SARS-COV2 S-2P,D17,1,1500,,1559,1559,1563,1563,0.361922857,,,63.29941693,63.50619808,0.460479014
Plate_1LK05A1071,Sample 13,SARS-COV2 S-2P,P17,1,1093500,,175,175,161,161,12.29750924,,,NaN,NaN,NaN
Plate_1LK05A1071,Sample 13,SARS-COV2 S-2P,E17,1,4500,,669,669,670,669.5,0.105617144,,,50.03759196,50.1177878,0.226294973
Plate_1LK05A1071,Sample 13,SARS-COV2 S-2P,O17,1,1093500,,147,147,161,161,12.29750924,,,NaN,NaN,NaN
Plate_1LK05A1071,Sample 13,SARS-COV2 S-2P,J17,1,40500,,245,245,211,211,22.78827541,,,NaN,NaN,NaN
Plate_1LK05A1071,Sample 13,SARS-COV2 S-2P,F17,1,4500,,670,670,670,669.5,0.105617144,,,50.19798363,50.1177878,0.226294973
Plate_1LK05A1071,Sample 13,SARS-COV2 S-2P,L17,1,121500,,216,216,201,200.5,10.93282305,,,NaN,NaN,NaN
Plate_1LK05A1071,Sample 13,SARS-COV2 S-2P,K17,1,121500,,185,185,201,200.5,10.93282305,,,NaN,NaN,NaN
Plate_1LK05A1071,Sample 13,SARS-COV2 S-2P,A17,1,500,,4030,4030,4092,4091.5,2.125727339,,,62.99863936,64.02941306,2.276663285
Plate_1LK05A1071,Sample 14,SARS-COV2 S-2P,B18,1,500,,3679,3679,3780,3779.5,3.760509671,,,57.1062231,58.79424824,4.060308829
Plate_1LK05A1071,Sample 14,SARS-COV2 S-2P,M18,1,364500,,196,196,215,215,12.49770125,,,NaN,NaN,NaN
Plate_1LK05A1071,Sample 14,SARS-COV2 S-2P,H18,1,13500,,367,367,323,322.5,19.51395458,,,1.268844943,NaN,NaN
Plate_1LK05A1071,Sample 14,SARS-COV2 S-2P,G18,1,13500,,278,278,323,322.5,19.51395458,,,NaN,NaN,NaN
Plate_1LK05A1071,Sample 14,SARS-COV2 S-2P,I18,1,40500,,242,242,246,245.5,2.016190415,,,NaN,NaN,NaN
Plate_1LK05A1071,Sample 14,SARS-COV2 S-2P,C18,1,1500,,1370,1370,1371,1370.5,0.051594803,,,53.50812406,53.53408299,0.068575895
Plate_1LK05A1071,Sample 14,SARS-COV2 S-2P,D18,1,1500,,1371,1371,1371,1370.5,0.051594803,,,53.56004193,53.53408299,0.068575895
Plate_1LK05A1071,Sample 14,SARS-COV2 S-2P,N18,1,364500,,234,234,215,215,12.49770125,,,NaN,NaN,NaN
Plate_1LK05A1071,Sample 14,SARS-COV2 S-2P,P18,1,1093500,,224,224,206,205.5,12.73136297,,,NaN,NaN,NaN
Plate_1LK05A1071,Sample 14,SARS-COV2 S-2P,J18,1,40500,,249,249,246,245.5,2.016190415,,,NaN,NaN,NaN
Plate_1LK05A1071,Sample 14,SARS-COV2 S-2P,O18,1,1093500,,187,187,206,205.5,12.73136297,,,NaN,NaN,NaN
Plate_1LK05A1071,Sample 14,SARS-COV2 S-2P,E18,1,4500,,633,633,642,642,1.982542377,,,44.2544935,45.70138711,4.477362066
Plate_1LK05A1071,Sample 14,SARS-COV2 S-2P,F18,1,4500,,651,651,642,642,1.982542377,,,47.14828072,45.70138711,4.477362066
Plate_1LK05A1071,Sample 14,SARS-COV2 S-2P,L18,1,121500,,183,183,199,198.5,11.04297744,,,NaN,NaN,NaN
Plate_1LK05A1071,Sample 14,SARS-COV2 S-2P,A18,1,500,,3880,3880,3780,3779.5,3.760509671,,,60.48227339,58.79424824,4.060308829
Plate_1LK05A1071,Sample 14,SARS-COV2 S-2P,K18,1,121500,,214,214,199,198.5,11.04297744,,,NaN,NaN,NaN
Plate_1LK05A1071,Sample 15,SARS-COV2 S-2P,B19,1,500,,1031,1031,1033,1033,0.273807079,,,11.94156313,11.97652427,0.412828563
Plate_1LK05A1071,Sample 15,SARS-COV2 S-2P,H19,1,13500,,201,201,219,218.5,11.32665325,,,NaN,NaN,NaN
Plate_1LK05A1071,Sample 15,SARS-COV2 S-2P,M19,1,364500,,198,198,230,229.5,19.41077439,,,NaN,NaN,NaN
Plate_1LK05A1071,Sample 15,SARS-COV2 S-2P,G19,1,13500,,236,236,219,218.5,11.32665325,,,NaN,NaN,NaN
Plate_1LK05A1071,Sample 15,SARS-COV2 S-2P,I19,1,40500,,175,175,197,196.5,15.47358351,,,NaN,NaN,NaN
Plate_1LK05A1071,Sample 15,SARS-COV2 S-2P,C19,1,1500,,445,445,443,442.5,0.798990713,,,4.547323708,4.40909414,4.433702787
Plate_1LK05A1071,Sample 15,SARS-COV2 S-2P,D19,1,1500,,440,440,443,442.5,0.798990713,,,4.270864572,4.40909414,4.433702787
Plate_1LK05A1071,Sample 15,SARS-COV2 S-2P,N19,1,364500,,261,261,230,229.5,19.41077439,,,NaN,NaN,NaN
Plate_1LK05A1071,Sample 15,SARS-COV2 S-2P,P19,1,1093500,,261,261,248,247.5,7.713892158,,,NaN,NaN,NaN
Plate_1LK05A1071,Sample 15,SARS-COV2 S-2P,O19,1,1093500,,234,234,248,247.5,7.713892158,,,NaN,NaN,NaN
Plate_1LK05A1071,Sample 15,SARS-COV2 S-2P,J19,1,40500,,218,218,197,196.5,15.47358351,,,NaN,NaN,NaN
Plate_1LK05A1071,Sample 15,SARS-COV2 S-2P,E19,1,4500,,258,258,261,260.5,1.357210712,,,NaN,NaN,NaN
Plate_1LK05A1071,Sample 15,SARS-COV2 S-2P,F19,1,4500,,263,263,261,260.5,1.357210712,,,NaN,NaN,NaN
Plate_1LK05A1071,Sample 15,SARS-COV2 S-2P,L19,1,121500,,133,133,178,177.5,35.45493156,,,NaN,NaN,NaN
Plate_1LK05A1071,Sample 15,SARS-COV2 S-2P,A19,1,500,,1035,1035,1033,1033,0.273807079,,,12.0114854,11.97652427,0.412828563
Plate_1LK05A1071,Sample 15,SARS-COV2 S-2P,K19,1,121500,,222,222,178,177.5,35.45493156,,,NaN,NaN,NaN
Plate_1LK05A1071,Sample 16,SARS-COV2 S-2P,B20,1,500,,1427,1427,1430,1429.5,0.247326611,,,18.82181951,18.86502392,0.323881201
Plate_1LK05A1071,Sample 16,SARS-COV2 S-2P,M20,1,364500,,220,220,204,203.5,11.46659645,,,NaN,NaN,NaN
Plate_1LK05A1071,Sample 16,SARS-COV2 S-2P,H20,1,13500,,217,217,247,246.5,16.92466535,,,NaN,NaN,NaN
Plate_1LK05A1071,Sample 16,SARS-COV2 S-2P,G20,1,13500,,276,276,247,246.5,16.92466535,,,NaN,NaN,NaN
Plate_1LK05A1071,Sample 16,SARS-COV2 S-2P,I20,1,40500,,224,224,239,238.5,8.59794409,,,NaN,NaN,NaN
Plate_1LK05A1071,Sample 16,SARS-COV2 S-2P,C20,1,1500,,629,629,645,644.5,3.401134246,,,14.53693053,15.36737828,7.64236064
Plate_1LK05A1071,Sample 16,SARS-COV2 S-2P,N20,1,364500,,187,187,204,203.5,11.46659645,,,NaN,NaN,NaN
Plate_1LK05A1071,Sample 16,SARS-COV2 S-2P,D20,1,1500,,660,660,645,644.5,3.401134246,,,16.19782602,15.36737828,7.64236064
Plate_1LK05A1071,Sample 16,SARS-COV2 S-2P,P20,1,1093500,,134,134,194,193.5,43.48615347,,,NaN,NaN,NaN
Plate_1LK05A1071,Sample 16,SARS-COV2 S-2P,E20,1,4500,,334,334,344,344,4.111085937,,,NaN,NaN,NaN
Plate_1LK05A1071,Sample 16,SARS-COV2 S-2P,J20,1,40500,,253,253,239,238.5,8.59794409,,,NaN,NaN,NaN
Plate_1LK05A1071,Sample 16,SARS-COV2 S-2P,O20,1,1093500,,253,253,194,193.5,43.48615347,,,NaN,NaN,NaN
Plate_1LK05A1071,Sample 16,SARS-COV2 S-2P,F20,1,4500,,354,354,344,344,4.111085937,,,NaN,NaN,NaN
Plate_1LK05A1071,Sample 16,SARS-COV2 S-2P,L20,1,121500,,187,187,210,209.5,15.18845115,,,NaN,NaN,NaN
Plate_1LK05A1071,Sample 16,SARS-COV2 S-2P,K20,1,121500,,232,232,210,209.5,15.18845115,,,NaN,NaN,NaN
